defaultCompetitions/id,defaultCompetitions/title,defaultCompetitions/image
L1,1. Bundesliga,https://tmssl.akamaized.net/images/logo/normal/l1.png?lm=1525905518
L2,2. Bundesliga,https://tmssl.akamaized.net/images/logo/normal/l2.png?lm=1525905553
L3,3. Liga,https://tmssl.akamaized.net/images/logo/normal/l3.png?lm=1569702802
DFB,DFB-Pokal,https://tmssl.akamaized.net/images/logo/normal/dfb.png?lm=1520938419
CL,UEFA Champions League,https://tmssl.akamaized.net/images/logo/normal/cl.png?lm=1520874127
EL,Europa League,https://tmssl.akamaized.net/images/logo/normal/el.png?lm=1520938734
GB1,Premier League,https://tmssl.akamaized.net/images/logo/normal/gb1.png?lm=1521104656
ES1,LaLiga,https://tmssl.akamaized.net/images/logo/normal/es1.png?lm=1557051003
IT1,Serie A,https://tmssl.akamaized.net/images/logo/normal/it1.png?lm=1562052084
FR1,Ligue 1,https://tmssl.akamaized.net/images/logo/normal/fr1.png?lm=1592648063
TR1,SÃ¼per Lig,https://tmssl.akamaized.net/images/logo/normal/tr1.png?lm=1571296616
NL1,Eredivisie,https://tmssl.akamaized.net/images/logo/normal/nl1.png?lm=1497986858
CSL,Chinese Super League,https://tmssl.akamaized.net/images/logo/normal/csl.png?lm=1601305342
